27144	AGE	102.0	115.0	six
27144	AGE	180.0	193.0	six
27144	AGE	271.0	284.0	six
27368	AGE	193.0	197.0	four
30226	AGE	531.0	533.0	10
40007	AGE	5.0	20.0	nine
50001	AGE	15.0	26.0	ten
50002	AGE	5.0	11.0	thirty
50003	AGE	39.0	47.0	fifteen
50004	AGE	13.0	27.0	twelve
50005	AGE	3.0	12.0	fourteen
50006	AGE	8.0	18.0	twenty-two
50007	AGE	9.0	21.0	seventeen
50008	AGE	11.0	22.0	fifty-two
50009	AGE	2.0	21.0	thirteen
50010	AGE	5.0	15.0	twenty-nine
50011	AGE	24.0	32.0	sixteen
50012	AGE	5.0	10.0	twenty
50013	AGE	8.0	19.0	thirty-four
50014	AGE	5.0	11.0	forty
50015	AGE	5.0	20.0	fifteen
50016	AGE	13.0	32.0	fourteen
50017	AGE	28.0	37.0	forty-six
50018	AGE	5.0	17.0	thirty-seven
50019	AGE	3.0	11.0	nineteen
50020	AGE	11.0	24.0	thirteen
50021	AGE	8.0	18.0	twenty-five
50022	AGE	12.0	27.0	twelve
50023	AGE	19.0	37.0	twenty-six
50024	AGE	10.0	16.0	sixty
50025	AGE	13.0	25.0	eighteen
50026	AGE	5.0	15.0	fifty-four
50027	AGE	16.0	29.0	twenty-three
50028	AGE	13.0	24.0	twenty-eight
50029	AGE	3.0	13.0	twenty-one
50030	AGE	5.0	14.0	forty-nine
50031	AGE	5.0	22.0	sixteen
50032	AGE	13.0	26.0	seventeen
50033	AGE	16.0	26.0	thirty-one
50034	AGE	13.0	19.0	twenty
50035	AGE	14.0	29.0	fifteen
50036	AGE	3.0	12.0	fourteen
50037	AGE	12.0	27.0	thirteen
50038	AGE	9.0	18.0	forty-two
50039	AGE	5.0	16.0	forty-seven
50040	AGE	5.0	17.0	thirty-nine
50041	AGE	11.0	23.0	eleven
50042	AGE 3.0 11.0	eighteen
50043	AGE	5.0	17.0	twenty-three
50044	AGE	13.0	28.0	fifteen
50045	AGE	5.0	20.0	twenty-four
50046	AGE	13.0	26.0	twelve
50047	AGE	7.0	18.0	fifty-six
50048	AGE	18.0	25.0	fourteen
50049	AGE	7.0	18.0	thirty-two
50050	AGE	5.0	15.0	forty-five
60001	AGE	15.0	26.0	10
60002	AGE	5.0	11.0	30
60003	AGE	39.0	47.0	15
60004	AGE	13.0	27.0	12
60005	AGE	3.0	12.0	14
60006	AGE	8.0	18.0	22
60007	AGE	9.0	21.0	17
60008	AGE	11.0	22.0	52
60009	AGE	2.0	21.0	13
60010	AGE	5.0	15.0	29
60011	AGE	24.0	32.0	16
60012	AGE	5.0	10.0	20
60013	AGE	8.0	19.0	34
60014	AGE	5.0	11.0	40
60015	AGE	5.0	20.0	15
60016	AGE	13.0	32.0	14
60017	AGE	28.0	37.0	46
60018	AGE	5.0	17.0	37
60019	AGE	3.0	11.0	19
60020	AGE	11.0	24.0	13
60021	AGE	8.0	18.0	25
60022	AGE	12.0	27.0	12
60023	AGE	19.0	37.0	26
60024	AGE	10.0	16.0	60
60025	AGE	13.0	25.0	18
60026	AGE	5.0	15.0	54
60027	AGE	16.0	29.0	23
60028	AGE	13.0	24.0	28
60029	AGE	3.0	13.0	21
60030	AGE	5.0	14.0	49
60031	AGE	5.0	22.0	16
60032	AGE	13.0	26.0	17
60033	AGE	16.0	26.0	31
60034	AGE	13.0	19.0	20
60035	AGE	14.0	29.0	15
60036	AGE	3.0	12.0	14
60037	AGE	12.0	27.0	13
60038	AGE	9.0	18.0	42
60039	AGE	5.0	16.0	47
60040	AGE	5.0	17.0	39
60041	AGE	11.0	23.0	11
60042	AGE	3.0	11.0	18
60043	AGE	5.0	17.0	23
60044	AGE	13.0	28.0	15
60045	AGE	5.0	20.0	24
60046	AGE	13.0	26.0	12
60047	AGE	7.0	18.0	56
60048	AGE	18.0	25.0	14
60049	AGE	7.0	18.0	32
60050	AGE	5.0	15.0	45
60051   AGE 13.0	26.0	10
