40000	ZIP	4.0	17.0	1483
40001	ZIP	27.0	40.0	3231
40002	ZIP	29.0	42.0	8805
40003	ZIP	29.0	42.0	7559
40004	ZIP	20.0	40.0	9496
40005	ZIP	27.0	40.0	8630
40006	ZIP	27.0	40.0	9257
40007	ZIP	5.0	21.0	1305
40008	ZIP	13.0	26.0	9911
40009	ZIP	27.0	40.0	8202
40010	ZIP	43.0	56.0	2374
40011	ZIP	27.0	40.0	1227
40012	ZIP	18.0	34.0	9193
40013	ZIP	0.0	16.0	3557
40014	ZIP	18.0	34.0	4824
40015	ZIP	18.0	34.0	5846
40016	ZIP	27.0	40.0	8815
40017	ZIP	43.0	47.0	7453
40018	ZIP	35.0	48.0	6657
40019	ZIP	29.0	42.0	8216
40020	ZIP	29.0	42.0	5466
40021	ZIP	32.0	48.0	3836
40022	ZIP	43.0	47.0	9573
40023	ZIP	13.0	26.0	7863
40024	ZIP	13.0	26.0	1435
40025	ZIP	4.0	17.0	8013
40026	ZIP	27.0	40.0	9563
40027	ZIP	0.0	16.0	1768
40028	ZIP	29.0	42.0	5570
40029	ZIP	32.0	48.0	9438
40030	ZIP	29.0	42.0	4930
40031	ZIP	29.0	42.0	4003
40032	ZIP	3.0	19.0	7008
40033	ZIP	0.0	16.0	8403
40034	ZIP	4.0	17.0	6682
40035	ZIP	29.0	42.0	2161
40036	ZIP	18.0	34.0	5179
40037	ZIP	20.0	40.0	3096
40038	ZIP	18.0	34.0	8654
40039	ZIP	27.0	40.0	9008
40040	ZIP	32.0	48.0	4844
40041	ZIP	29.0	42.0	4070
40042	ZIP	38.0	54.0	4336
40043	ZIP	35.0	48.0	8416
40044	ZIP	43.0	47.0	3444
40045	ZIP	3.0	19.0	3172
40046	ZIP	29.0	42.0	2729
40047	ZIP	38.0	54.0	7916
40048	ZIP	3.0	19.0	9247
40049	ZIP	20.0	36.0	3983
40050	ZIP	5.0	21.0	6972
40051	ZIP	33.0	49.0	1275
40052	ZIP	20.0	40.0	3597
40053	ZIP	43.0	47.0	4832
40054	ZIP	0.0	16.0	4894
40055	ZIP	20.0	40.0	5701
40056	ZIP	27.0	40.0	3408
40057	ZIP	20.0	36.0	7437
40058	ZIP	4.0	17.0	5878
40059	ZIP	35.0	48.0	7179
40060	ZIP	20.0	40.0	4308
40061	ZIP	20.0	40.0	3371
40062	ZIP	45.0	49.0	4848
40063	ZIP	33.0	49.0	9962
40064	ZIP	32.0	48.0	1309
40065	ZIP	35.0	48.0	8164
40066	ZIP	43.0	47.0	6824
40067	ZIP	29.0	42.0	3227
40068	ZIP	35.0	48.0	3345
40069	ZIP	29.0	42.0	3942
40070	ZIP	0.0	16.0	9108
40071	ZIP	29.0	42.0	3195
40072	ZIP	18.0	34.0	9599
40073	ZIP	35.0	48.0	3515
40074	ZIP	38.0	54.0	8782
40075	ZIP	38.0	54.0	6031
40076	ZIP	20.0	36.0	4785
40077	ZIP	5.0	21.0	5516
40078	ZIP	43.0	56.0	3352
40079	ZIP	18.0	34.0	3444
